Location,Treatment,Count,Start time,End time,Point no.
MLS,O,1,09:20,09:30,3
MLS,O,1,09:20,09:30,3
MLS,O,1,09:20,09:30,3
MLS,O,1,09:20,09:30,3
MLS,O,1,09:36,09:46,2
MLS,O,1,09:36,09:46,2
MLS,O,1,09:36,09:46,2
MLS,O,1,09:36,09:46,2
MLS,O,1,09:36,09:46,2
MLS,O,1,09:36,09:46,2
MLS,O,1,09:56,10:06,1
MLS,O,1,09:56,10:06,1
MLS,O,1,09:56,10:06,1
MLS,O,1,09:56,10:06,1
MLS,O,1,09:56,10:06,1
MLS,O,1,09:56,10:06,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:15,10:25,1
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:30,10:40,3
MLS,Y,1,10:45,10:55,2
MLS,Y,1,10:45,10:55,2
MLS,Y,1,10:45,10:55,2
MLS,Y,1,10:45,10:55,2
MLS,Y,1,10:45,10:55,2
SBS,Y,1,07:52,08:02,2
SBS,Y,1,07:52,08:02,2
SBS,Y,1,07:52,08:02,2
SBS,Y,1,07:52,08:02,2
SBS,Y,1,07:52,08:02,2
SBS,Y,1,08:11,08:21,1
SBS,Y,1,08:11,08:21,1
SBS,Y,1,08:11,08:21,1
SBS,Y,1,08:11,08:21,1
SBS,Y,1,08:11,08:21,1
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,Y,1,08:27,08:37,3
SBS,C,1,09:14,09:24,2
SBS,C,1,09:14,09:24,2
SBS,C,1,09:14,09:24,2
SBS,C,1,09:14,09:24,2
SBS,C,1,09:14,09:24,2
SBS,C,1,09:14,09:24,2
SBS,C,1,09:30,09:40,1
SBS,C,1,09:30,09:40,1
SBS,C,1,09:30,09:40,1
